sex,ageband_at_study_entry,month,Persontime,Persontime_MIS_narrow,Persontime_KD_narrow,Persontime_MIS_KD_narrow,Persontime_MIS_broad,Persontime_KD_broad,Persontime_MIS_KD_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_possible,Persontime_Myocardalone_narrow,Persontime_Myocardalone_possible,Persontime_PERICARD_narrow,Persontime_PERICARD_possible,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b,PERICARD_narrow_b,PERICARD_possible_b
1,0-4,2021-02,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,0,0,0,0,0,0,0,0,0,0,0,0
1,0-4,2021-03,3626,3626,3626,3626,3626,3626,3626,3626,3626,3626,3626,3626,3626,0,0,0,0,0,0,0,0,0,0,0,0
1,0-4,2021-04,3480,3480,3480,3480,3480,3480,3480,3480,3480,3480,3480,3480,3480,0,0,0,0,0,0,0,0,0,0,0,0
1,0-4,2021-05,3596,3596,3596,3596,3596,3596,3596,3596,3596,3596,3596,3596,3596,0,0,0,0,0,0,0,0,0,0,0,0
1,0-4,2021-06,3480,3480,3480,3480,3480,3480,3480,3480,3480,3480,3480,3480,3480,0,0,0,0,0,0,0,0,0,0,0,0
0,0-4,2020-01,4092,4092,4092,4092,4092,4092,4092,4092,4092,4092,4092,4092,4092,0,0,0,0,0,0,0,0,0,0,0,0
0,0-4,2020-02,3803,3803,3803,3803,3803,3803,3803,3803,3803,3803,3803,3803,3803,0,0,0,0,0,0,0,0,0,0,0,0
0,0-4,2020-03,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,0,0,0,0,0,0,0,0,0,0,0,0
0,0-4,2020-04,3842,3842,3842,3842,3842,3842,3842,3842,3842,3842,3842,3842,3842,0,0,0,0,0,0,0,0,0,0,0,0
0,0-4,2020-05,3968,3968,3968,3968,3968,3968,3968,3968,3968,3968,3968,3968,3968,0,0,0,0,0,0,0,0,0,0,0,0
0,0-4,2020-06,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,0,0,0,0,0,0,0,0,0,0,0,0
0,0-4,2020-07,3968,3968,3968,3968,3968,3968,3968,3968,3968,3968,3968,3968,3968,0,0,0,0,0,0,0,0,0,0,0,0
0,0-4,2020-08,3968,3968,3968,3968,3968,3968,3968,3968,3968,3968,3968,3968,3968,0,0,0,0,0,0,0,0,0,0,0,0
0,0-4,2020-09,3760,3760,3760,3760,3760,3760,3760,3760,3760,3760,3760,3760,3760,0,0,0,0,0,0,0,0,0,0,0,0
0,0-4,2020-10,3875,3875,3875,3875,3875,3875,3875,3875,3875,3875,3875,3875,3875,0,0,0,0,0,0,0,0,0,0,0,0
0,0-4,2020-11,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,0,0,0,0,0,0,0,0,0,0,0,0
0,0-4,2020-12,3844,3844,3844,3844,3844,3844,3844,3844,3844,3844,3844,3844,3844,0,0,0,0,0,0,0,0,0,0,0,0
0,0-4,2021-01,3726,3726,3726,3726,3726,3726,3726,3726,3726,3726,3726,3726,3726,0,0,0,0,0,0,0,0,0,0,0,0
0,0-4,2021-02,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,0,0,0,0,0,0,0,0,0,0,0,0
0,0-4,2021-03,3716,3716,3716,3716,3716,3716,3716,3716,3716,3716,3716,3716,3716,0,0,0,0,0,0,0,0,0,0,0,0
0,0-4,2021-04,3570,3570,3570,3570,3570,3570,3570,3570,3570,3570,3570,3570,3570,0,0,0,0,0,0,0,0,0,0,0,0
0,0-4,2021-05,3689,3689,3689,3689,3689,3689,3689,3689,3689,3689,3689,3689,3689,0,0,0,0,0,0,0,0,0,0,0,0
0,0-4,2021-06,3570,3570,3570,3570,3570,3570,3570,3570,3570,3570,3570,3570,3570,0,0,0,0,0,0,0,0,0,0,0,0
0,25-29,2020-01,6008,6008,6008,6008,6008,6008,6008,6008,6008,6008,6008,6008,6008,0,0,0,0,0,0,0,0,0,0,0,0
0,25-29,2020-02,5556,5556,5556,5556,5556,5556,5556,5556,5556,5556,5556,5556,5556,0,0,0,0,0,0,0,0,0,0,0,0
0,25-29,2020-03,5887,5887,5887,5887,5887,5887,5887,5887,5887,5887,5887,5887,5887,0,0,0,0,0,0,0,0,0,0,0,0
0,25-29,2020-04,5642,5642,5642,5642,5642,5642,5642,5642,5642,5642,5642,5642,5642,0,0,0,0,0,0,0,0,0,0,0,0
0,25-29,2020-05,5805,5805,5805,5805,5805,5805,5805,5805,5805,5805,5805,5805,5805,0,0,0,0,0,0,0,0,0,0,0,0
0,25-29,2020-06,5546,5546,5546,5546,5546,5546,5546,5546,5546,5546,5546,5546,5546,0,0,0,0,0,0,0,0,0,0,0,0
0,25-29,2020-07,5682,5682,5682,5682,5682,5682,5682,5682,5682,5682,5682,5682,5682,0,0,0,0,0,0,0,0,0,0,0,0
0,25-29,2020-08,5673,5673,5673,5673,5673,5673,5673,5673,5673,5673,5673,5673,5673,0,0,0,0,0,0,0,0,0,0,0,0
0,25-29,2020-09,5467,5467,5467,5467,5467,5467,5467,5467,5467,5467,5467,5467,5467,0,0,0,0,0,0,0,0,0,0,0,0
0,25-29,2020-10,5623,5623,5623,5623,5623,5623,5623,5623,5623,5623,5623,5623,5623,0,0,0,0,0,0,0,0,0,0,0,0
0,25-29,2020-11,5428,5428,5428,5428,5428,5428,5428,5428,5428,5428,5428,5428,5428,0,0,0,0,0,0,0,0,0,0,0,0
0,25-29,2020-12,5514,5514,5514,5514,5514,5514,5514,5514,5514,5514,5514,5514,5514,0,0,0,0,0,0,0,0,0,0,0,0
0,25-29,2021-01,5412,5412,5412,5412,5412,5412,5412,5412,5412,5412,5412,5412,5412,0,0,0,0,0,0,0,0,0,0,0,0
0,25-29,2021-02,4649,4649,4649,4649,4649,4649,4649,4649,4649,4649,4649,4649,4649,0,0,0,0,0,0,0,0,0,0,0,0
0,25-29,2021-03,4670,4670,4670,4670,4670,4670,4670,4670,4670,4670,4670,4670,4670,0,0,0,0,0,0,0,0,0,0,0,0
0,25-29,2021-04,4386,4386,4386,4386,4386,4386,4386,4386,4386,4386,4386,4386,4386,0,0,0,0,0,0,0,0,0,0,0,0
0,25-29,2021-05,4377,4377,4377,4377,4377,4377,4377,4377,4377,4377,4377,4377,4377,0,0,0,0,0,0,0,0,0,0,0,0
0,25-29,2021-06,3863,3863,3863,3863,3863,3863,3863,3863,3863,3863,3863,3863,3863,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,2021-01,18748,18748,18748,18748,18748,18748,18748,18748,18748,18748,18748,18748,18748,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,2021-02,15973,15973,15973,15973,15973,15973,15973,15973,15973,15973,15973,15973,15973,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,2021-03,16280,16280,16280,16280,16280,16280,16280,16280,16280,16280,16280,16280,16280,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,2021-04,15203,15203,15203,15203,15203,15203,15203,15203,15203,15203,15203,15203,15203,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,2021-05,14092,14092,14092,14092,14092,14092,14092,14092,14092,14092,14092,14092,14092,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,2020-01,19780,19780,19780,19780,19780,19780,19780,19780,19780,19780,19780,19780,19780,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,2020-02,18444,18444,18444,18444,18444,18444,18444,18444,18444,18444,18444,18444,18444,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,2020-03,19708,19708,19708,19708,19708,19708,19708,19708,19708,19708,19708,19708,19708,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,2020-04,18997,18997,18997,18997,18997,18997,18997,18997,18997,18997,18997,18997,18997,0,0,0,0,0,0,0,0,0,0,0,0
