sex,dose,type_vax,COVID19,month,Ageband,Persontime,year
F,0,,0,December,5-11,2260,2020
F,0,,0,January,5-11,2237,2021
F,0,,0,February,5-11,2008,2021
M,0,,0,January,0-4,1472,2019
M,0,,0,February,0-4,1346,2019
M,0,,0,March,0-4,1478,2019
M,0,,0,April,0-4,1396,2019
M,0,,0,May,0-4,1416,2019
M,0,,0,June,0-4,1433,2019
M,0,,0,July,0-4,1512,2019
M,0,,0,August,0-4,1551,2019
M,0,,0,September,0-4,1524,2019
M,0,,0,October,0-4,1471,2019
M,0,,0,November,0-4,1405,2019
M,0,,0,December,0-4,1417,2019
M,0,,0,December,5-11,3229,2019
M,0,,0,January,5-11,3122,2020
M,0,,0,February,5-11,2810,2020
M,0,,0,March,5-11,3008,2020
M,0,,0,April,5-11,2908,2020
M,0,,0,May,5-11,3066,2020
M,0,,0,June,5-11,3075,2020
M,0,,0,July,5-11,3236,2020
M,0,,0,August,5-11,3242,2020
M,0,,0,September,5-11,3112,2020
M,0,,0,October,5-11,3181,2020
M,0,,0,November,5-11,3006,2020
M,0,,0,December,5-11,3225,2020
M,0,,0,January,5-11,3148,2021
F,1,pfizer,0,June,40-49,873,2021
M,0,,0,January,50-59,6495,2019
M,0,,0,April,60-69,5573,2019
M,0,,0,May,60-69,5779,2019
M,0,,0,June,60-69,5554,2019
M,0,,0,July,60-69,5744,2019
M,0,,0,August,60-69,5614,2019
M,0,,0,September,60-69,5430,2019
M,0,,0,October,60-69,5658,2019
M,0,,0,November,60-69,5458,2019
M,0,,0,December,60-69,5590,2019
M,0,,0,January,60-69,5618,2020
M,0,,0,February,60-69,5183,2020
M,0,,0,March,60-69,5494,2020
M,0,,0,April,60-69,5333,2020
M,0,,0,May,60-69,5432,2020
M,0,,0,June,60-69,5317,2020
M,0,,0,July,60-69,5519,2020
M,0,,0,August,60-69,5410,2020
M,0,,0,September,60-69,5227,2020
M,0,,0,October,60-69,5405,2020
M,0,,0,November,60-69,5208,2020
M,0,,0,December,60-69,5418,2020
