sex,month,year,Ageband,Persontime,Persontime_covid_severity_1_plus,Persontime_covid_severity_2_plus,Persontime_covid_severity_3_plus,Persontime_covid_severity_4_plus,covid_severity_1_plus_b,covid_severity_2_plus_b,covid_severity_3_plus_b,covid_severity_4_plus_b,IR_covid_severity_1_plus,lb_covid_severity_1_plus,ub_covid_severity_1_plus,IR_covid_severity_2_plus,lb_covid_severity_2_plus,ub_covid_severity_2_plus,IR_covid_severity_3_plus,lb_covid_severity_3_plus,ub_covid_severity_3_plus,IR_covid_severity_4_plus,lb_covid_severity_4_plus,ub_covid_severity_4_plus
both_sexes,5,2020,5-11,4433,4433,4433,4433,4433,0,0,0,0,0,0,30393.94,0,0,30393.94,0,0,30393.94,0,0,30393.94
both_sexes,6,2020,0-4,2152,2152,2152,2152,2152,0,0,0,0,0,0,62609.82,0,0,62609.82,0,0,62609.82,0,0,62609.82
both_sexes,6,2020,12-17,3952,3952,3952,3952,3952,0,0,0,0,0,0,34093.2,0,0,34093.2,0,0,34093.2,0,0,34093.2
both_sexes,6,2020,5-11,4368,4368,4368,4368,4368,0,0,0,0,0,0,30846.23,0,0,30846.23,0,0,30846.23,0,0,30846.23
both_sexes,7,2020,0-4,2122,2122,2122,2122,2122,0,0,0,0,0,0,63494.97,0,0,63494.97,0,0,63494.97,0,0,63494.97
both_sexes,7,2020,12-17,4049,4049,4049,4049,4049,0,0,0,0,0,0,33276.44,0,0,33276.44,0,0,33276.44,0,0,33276.44
both_sexes,7,2020,5-11,4553,4553,4553,4553,4553,0,0,0,0,0,0,29592.87,0,0,29592.87,0,0,29592.87,0,0,29592.87
both_sexes,8,2020,0-4,2101,2101,2101,2101,2101,0,0,0,0,0,0,64129.62,0,0,64129.62,0,0,64129.62,0,0,64129.62
both_sexes,8,2020,12-17,3974,3974,3974,3974,3974,0,0,0,0,0,0,33904.46,0,0,33904.46,0,0,33904.46,0,0,33904.46
both_sexes,8,2020,5-11,4512,4512,4512,4512,4512,0,0,0,0,0,0,29861.77,0,0,29861.77,0,0,29861.77,0,0,29861.77
both_sexes,9,2020,0-4,1925,1925,1925,1925,1925,0,0,0,0,0,0,69992.89,0,0,69992.89,0,0,69992.89,0,0,69992.89
both_sexes,9,2020,12-17,3799,3799,3799,3799,3799,0,0,0,0,0,0,35466.26,0,0,35466.26,0,0,35466.26,0,0,35466.26
both_sexes,9,2020,5-11,4347,4347,4347,4347,4347,0,0,0,0,0,0,30995.24,0,0,30995.24,0,0,30995.24,0,0,30995.24
both_sexes,10,2020,0-4,1953,1953,1953,1953,1953,0,0,0,0,0,0,68989.41,0,0,68989.41,0,0,68989.41,0,0,68989.41
both_sexes,10,2020,12-17,3869,3868,3869,3869,3869,1,0,0,0,9442.86,239.07,52612.27,0,0,34824.59,0,0,34824.59,0,0,34824.59
both_sexes,10,2020,5-11,4419,4419,4419,4419,4419,0,0,0,0,0,0,30490.23,0,0,30490.23,0,0,30490.23,0,0,30490.23
both_sexes,11,2020,0-4,1785,1785,1785,1785,1785,0,0,0,0,0,0,75482.53,0,0,75482.53,0,0,75482.53,0,0,75482.53
both_sexes,11,2020,12-17,3610,3610,3610,3610,3610,0,0,0,0,0,0,37323.08,0,0,37323.08,0,0,37323.08,0,0,37323.08
both_sexes,11,2020,5-11,4144,4143,4144,4144,4144,1,0,0,0,8816.08,223.2,49120.03,0,0,32513.59,0,0,32513.59,0,0,32513.59
both_sexes,12,2020,0-4,1635,1635,1635,1635,1635,0,0,0,0,0,0,82407.54,0,0,82407.54,0,0,82407.54,0,0,82407.54
both_sexes,12,2020,12-17,3638,3636,3637,3637,3638,2,1,1,0,20090.76,2433.08,72574.73,10042.62,254.26,55953.88,10042.62,254.26,55953.88,0,0,37035.82
both_sexes,12,2020,5-11,4329,4328,4329,4329,4329,1,0,0,0,8439.23,213.66,47020.4,0,0,31124.12,0,0,31124.12,0,0,31124.12
both_sexes,1,2021,0-4,1527,1527,1527,1527,1527,0,0,0,0,0,0,88235.97,0,0,88235.97,0,0,88235.97,0,0,88235.97
both_sexes,1,2021,12-17,3543,3542,3543,3543,3543,1,0,0,0,10311.97,261.08,57454.62,0,0,38028.88,0,0,38028.88,0,0,38028.88
both_sexes,1,2021,5-11,4245,4245,4245,4245,4245,0,0,0,0,0,0,31740.01,0,0,31740.01,0,0,31740.01,0,0,31740.01
both_sexes,2,2021,0-4,1344,1344,1344,1344,1344,0,0,0,0,0,0,100250.24,0,0,100250.24,0,0,100250.24,0,0,100250.24
both_sexes,2,2021,12-17,3197,3197,3197,3197,3197,0,0,0,0,0,0,42144.61,0,0,42144.61,0,0,42144.61,0,0,42144.61
both_sexes,2,2021,5-11,3722,3722,3722,3722,3722,0,0,0,0,0,0,36199.98,0,0,36199.98,0,0,36199.98,0,0,36199.98
both_sexes,3,2021,0-4,1488,1488,1488,1488,1488,0,0,0,0,0,0,90548.6,0,0,90548.6,0,0,90548.6,0,0,90548.6
both_sexes,3,2021,12-17,3522,3522,3522,3522,3522,0,0,0,0,0,0,38255.63,0,0,38255.63,0,0,38255.63,0,0,38255.63
both_sexes,3,2021,5-11,4044,4044,4044,4044,4044,0,0,0,0,0,0,33317.59,0,0,33317.59,0,0,33317.59,0,0,33317.59
both_sexes,4,2021,0-4,1399,1399,1399,1399,1399,0,0,0,0,0,0,96309.02,0,0,96309.02,0,0,96309.02,0,0,96309.02
both_sexes,4,2021,12-17,3373,3373,3373,3373,3373,0,0,0,0,0,0,39945.54,0,0,39945.54,0,0,39945.54,0,0,39945.54
both_sexes,4,2021,5-11,3894,3894,3894,3894,3894,0,0,0,0,0,0,34601.01,0,0,34601.01,0,0,34601.01,0,0,34601.01
both_sexes,5,2021,0-4,1357,1357,1357,1357,1357,0,0,0,0,0,0,99289.85,0,0,99289.85,0,0,99289.85,0,0,99289.85
both_sexes,5,2021,12-17,3378,3378,3378,3378,3378,0,0,0,0,0,0,39886.42,0,0,39886.42,0,0,39886.42,0,0,39886.42
both_sexes,5,2021,5-11,4029,4029,4029,4029,4029,0,0,0,0,0,0,33441.63,0,0,33441.63,0,0,33441.63,0,0,33441.63
both_sexes,6,2021,0-4,1260,1260,1260,1260,1260,0,0,0,0,0,0,106933.59,0,0,106933.59,0,0,106933.59,0,0,106933.59
both_sexes,6,2021,12-17,3091,3091,3091,3091,3091,0,0,0,0,0,0,43589.88,0,0,43589.88,0,0,43589.88,0,0,43589.88
both_sexes,6,2021,5-11,3834,3834,3834,3834,3834,0,0,0,0,0,0,35142.49,0,0,35142.49,0,0,35142.49,0,0,35142.49
0,all_months,2020,0-4,13185,13185,13185,13185,13185,0,0,0,0,0,0,10218.91,0,0,10218.91,0,0,10218.91,0,0,10218.91
0,all_months,2020,12-17,21129,21128,21129,21129,21129,1,0,0,0,1728.75,43.77,9631.97,0,0,6376.84,0,0,6376.84,0,0,6376.84
0,all_months,2020,5-11,21909,21907,21909,21909,21909,2,0,0,0,3334.55,403.83,12045.54,0,0,6149.82,0,0,6149.82,0,0,6149.82
0,all_months,2021,0-4,4100,4100,4100,4100,4100,0,0,0,0,0,0,32862.52,0,0,32862.52,0,0,32862.52,0,0,32862.52
0,all_months,2021,12-17,8579,8578,8579,8579,8579,1,0,0,0,4257.99,107.8,23723.98,0,0,15705.36,0,0,15705.36,0,0,15705.36
0,all_months,2021,5-11,9914,9914,9914,9914,9914,0,0,0,0,0,0,13590.51,0,0,13590.51,0,0,13590.51,0,0,13590.51
1,all_months,2020,0-4,12640,12640,12640,12640,12640,0,0,0,0,0,0,10659.52,0,0,10659.52,0,0,10659.52,0,0,10659.52
1,all_months,2020,12-17,27133,27131,27132,27132,27133,2,1,1,0,2692.49,326.07,9726.21,1346.2,34.08,7500.53,1346.2,34.08,7500.53,0,0,4965.77
1,all_months,2020,5-11,30603,30603,30603,30603,30603,0,0,0,0,0,0,4402.72,0,0,4402.72,0,0,4402.72,0,0,4402.72
1,all_months,2021,0-4,4275,4275,4275,4275,4275,0,0,0,0,0,0,31517.27,0,0,31517.27,0,0,31517.27,0,0,31517.27
1,all_months,2021,12-17,11525,11525,11525,11525,11525,0,0,0,0,0,0,11690.79,0,0,11690.79,0,0,11690.79,0,0,11690.79
1,all_months,2021,5-11,13854,13854,13854,13854,13854,0,0,0,0,0,0,9725.45,0,0,9725.45,0,0,9725.45,0,0,9725.45
both_sexes,all_months,2020,0-4,25825,25825,25825,25825,25825,0,0,0,0,0,0,5217.28,0,0,5217.28,0,0,5217.28,0,0,5217.28
both_sexes,all_months,2020,12-17,48262,48259,48261,48261,48262,3,1,1,0,2270.56,468.24,6635.54,756.82,19.16,4216.74,756.82,19.16,4216.74,0,0,2791.77
both_sexes,all_months,2020,5-11,52512,52510,52512,52512,52512,2,0,0,0,1391.16,168.48,5025.36,0,0,2565.82,0,0,2565.82,0,0,2565.82
both_sexes,all_months,2021,0-4,8375,8375,8375,8375,8375,0,0,0,0,0,0,16087.92,0,0,16087.92,0,0,16087.92,0,0,16087.92
