sex,dose,type_vax,COVID19,month,Ageband,Persontime,year
M,0,,0,June,80+,8742,2019
M,0,,0,July,80+,9031,2019
M,0,,0,August,80+,9088,2019
M,0,,0,September,80+,8727,2019
M,0,,0,October,80+,8888,2019
M,0,,0,November,80+,8608,2019
M,0,,0,December,80+,8890,2019
M,0,,0,January,80+,8903,2020
M,0,,0,February,80+,8333,2020
M,0,,0,March,80+,8960,2020
M,0,,0,April,80+,8661,2020
M,0,,0,May,80+,8945,2020
M,0,,0,June,80+,8635,2020
M,0,,0,July,80+,8892,2020
M,0,,0,August,80+,8885,2020
M,0,,0,September,80+,8727,2020
M,0,,0,October,80+,9037,2020
M,0,,0,November,80+,8813,2020
M,0,,0,December,80+,9145,2020
M,0,,0,January,80+,8905,2021
M,1,pfizer,0,January,80+,189,2021
M,1,pfizer,0,February,80+,126,2021
M,2,pfizer,0,February,80+,132,2021
M,2,pfizer,0,March,80+,268,2021
M,2,pfizer,0,April,80+,2042,2021
M,2,pfizer,0,May,80+,5643,2021
M,2,pfizer,0,June,80+,5952,2021
M,3,pfizer,0,June,80+,35,2021
F,0,,0,December,30-39,12598,2019
F,0,,0,January,30-39,12717,2020
F,0,,0,February,30-39,11959,2020
F,0,,0,March,30-39,12770,2020
F,0,,0,April,30-39,12282,2020
F,0,,0,May,30-39,12671,2020
F,0,,0,June,30-39,12154,2020
F,0,,0,July,30-39,12550,2020
F,0,,0,August,30-39,12503,2020
F,0,,0,March,30-39,10625,2021
F,0,,0,April,30-39,9827,2021
F,0,,0,May,30-39,9762,2021
F,0,,0,June,30-39,7766,2021
F,1,pfizer,0,June,30-39,1386,2021
M,0,,0,January,60-69,14361,2019
M,0,,0,February,60-69,12935,2019
M,0,,0,March,60-69,14332,2019
M,0,,0,April,60-69,13989,2019
M,0,,0,May,60-69,14630,2019
M,0,,0,February,60-69,12688,2021
M,0,,0,March,60-69,13703,2021
M,0,,0,April,60-69,12729,2021
M,0,,0,May,60-69,9705,2021
M,1,pfizer,0,May,60-69,1860,2021
M,1,pfizer,0,June,60-69,4723,2021
M,0,,1,February,40-49,288,2021
M,0,,1,March,40-49,346,2021
M,0,,1,April,40-49,373,2021
M,0,,1,May,40-49,465,2021
M,0,,1,June,40-49,357,2021
M,1,moderna,1,June,40-49,12,2021
F,0,,0,January,5-11,6470,2020
F,0,,0,February,5-11,6063,2020
F,0,,0,March,5-11,6467,2020
F,0,,0,April,5-11,6312,2020
F,0,,0,May,5-11,6542,2020
F,0,,0,June,5-11,6350,2020
F,0,,0,July,5-11,6657,2020
F,0,,0,August,5-11,6655,2020
F,0,,0,September,5-11,6447,2020
F,0,,0,October,5-11,6689,2020
F,0,,0,November,5-11,6438,2020
F,0,,0,December,5-11,6642,2020
F,0,,0,January,5-11,6566,2021
F,0,,0,February,5-11,5927,2021
F,0,,0,March,5-11,6418,2021
F,0,,0,April,5-11,6230,2021
F,0,,0,May,5-11,6410,2021
M,0,,0,May,25-29,4653,2021
M,0,,0,June,25-29,4062,2021
M,0,,0,February,80+,7862,2021
M,0,,0,March,80+,7177,2021
M,0,,0,April,80+,2600,2021
M,1,pfizer,0,April,80+,3890,2021
F,0,,1,May,30-39,7,2020
F,0,,1,June,30-39,30,2020
F,0,,1,July,30-39,31,2020
F,0,,1,August,30-39,31,2020
F,0,,1,September,30-39,30,2020
F,0,,1,October,30-39,31,2020
F,0,,1,November,30-39,35,2020
F,0,,1,December,30-39,108,2020
F,0,,1,January,30-39,196,2021
F,0,,0,April,80+,4318,2021
F,0,,0,May,80+,1868,2021
F,0,,0,June,80+,1589,2021
F,1,pfizer,0,April,80+,5305,2021
F,1,pfizer,0,May,80+,3197,2021
M,0,,1,September,40-49,6,2020
M,0,,1,October,40-49,38,2020
M,0,,1,November,40-49,86,2020
M,0,,1,December,40-49,177,2020
M,0,,1,January,40-49,267,2021
M,1,pfizer,1,June,40-49,81,2021
F,0,,0,January,18-24,6201,2019
F,0,,0,February,18-24,5545,2019
F,0,,0,March,18-24,6083,2019
F,0,,0,April,18-24,5891,2019
F,0,,0,May,18-24,6096,2019
F,0,,0,June,18-24,5839,2019
F,0,,0,July,18-24,6055,2019
F,0,,0,October,25-29,5426,2020
F,0,,0,November,25-29,5184,2020
F,0,,0,December,25-29,5339,2020
F,0,,0,January,25-29,5266,2021
F,0,,0,February,25-29,4562,2021
F,0,,1,February,25-29,113,2021
F,0,,1,March,25-29,169,2021
F,0,,1,April,25-29,161,2021
F,0,,1,May,25-29,155,2021
F,0,,1,June,25-29,145,2021
M,1,pfizer,0,June,18-24,944,2021
M,1,pfizer,0,June,40-49,2463,2021
M,1,pfizer,0,May,80+,2500,2021
M,1,pfizer,0,June,25-29,380,2021
F,0,,1,January,40-49,493,2021
F,0,,1,February,40-49,529,2021
F,0,,1,March,40-49,604,2021
F,0,,1,April,40-49,538,2021
F,0,,1,May,40-49,494,2021
F,0,,1,June,40-49,388,2021
M,0,,1,January,30-39,378,2021
M,0,,1,February,30-39,411,2021
M,0,,1,March,30-39,500,2021
M,0,,1,April,30-39,496,2021
M,0,,1,May,30-39,475,2021
M,0,,1,June,30-39,406,2021
F,1,moderna,0,June,40-49,339,2021
F,1,pfizer,0,June,40-49,2569,2021
F,1,astrazeneca,0,May,40-49,965,2021
F,1,astrazeneca,0,June,40-49,608,2021
F,0,,0,August,18-24,6231,2019
F,0,,0,September,18-24,6095,2019
F,0,,0,October,18-24,6356,2019
F,0,,0,November,18-24,6200,2019
F,0,,0,December,18-24,6338,2019
F,0,,0,January,18-24,6378,2020
F,0,,0,February,18-24,5969,2020
F,0,,0,March,18-24,6367,2020
F,0,,0,April,18-24,6204,2020
F,0,,0,May,18-24,6461,2020
F,0,,0,June,18-24,6264,2020
F,0,,0,July,18-24,6422,2020
F,0,,0,August,18-24,6461,2020
F,0,,0,September,18-24,6284,2020
F,0,,0,October,18-24,6496,2020
F,0,,0,November,18-24,6338,2020
F,0,,0,December,18-24,6475,2020
F,0,,0,January,18-24,6251,2021
F,0,,0,February,18-24,5450,2021
F,0,,0,March,18-24,5960,2021
F,0,,0,April,18-24,5737,2021
F,0,,0,May,18-24,5730,2021
F,0,,0,June,18-24,4587,2021
F,0,,0,January,12-17,5902,2019
F,0,,0,February,12-17,5386,2019
F,0,,0,March,12-17,6035,2019
F,0,,0,April,12-17,5786,2019
F,0,,0,May,12-17,5942,2019
F,0,,0,June,12-17,5733,2019
F,0,,0,July,12-17,5834,2019
F,0,,0,August,12-17,5734,2019
F,0,,0,September,12-17,5597,2019
F,0,,0,October,12-17,5793,2019
F,0,,0,November,12-17,5640,2019
F,0,,0,December,12-17,5827,2019
F,0,,0,January,12-17,5935,2020
F,0,,0,February,12-17,5576,2020
F,0,,0,March,12-17,5967,2020
F,0,,0,April,12-17,5704,2020
F,0,,0,May,12-17,5757,2020
F,0,,0,June,12-17,5577,2020
F,0,,0,July,12-17,5753,2020
F,0,,0,August,12-17,5659,2020
F,0,,0,September,12-17,5446,2020
F,0,,0,October,12-17,5578,2020
F,0,,0,November,12-17,5283,2020
F,0,,0,December,12-17,5447,2020
F,0,,0,January,12-17,5220,2021
F,0,,0,February,12-17,4677,2021
F,0,,0,March,12-17,5271,2021
F,0,,0,April,12-17,5030,2021
F,0,,0,May,12-17,5086,2021
F,0,,0,June,12-17,4772,2021
F,1,pfizer,0,May,70-79,2292,2021
F,1,pfizer,0,June,70-79,2228,2021
F,0,,0,June,50-59,8383,2021
M,0,,0,January,5-11,8699,2019
M,0,,0,February,5-11,7906,2019
M,0,,0,March,5-11,8744,2019
M,0,,0,April,5-11,8478,2019
M,0,,0,May,5-11,8721,2019
M,0,,0,June,5-11,8390,2019
M,0,,0,July,5-11,8582,2019
M,0,,0,August,5-11,8628,2019
M,0,,0,September,5-11,8352,2019
M,0,,0,October,5-11,8656,2019
M,0,,0,November,5-11,8390,2019
M,0,,0,December,5-11,8689,2019
M,0,,0,January,5-11,8658,2020
M,0,,0,February,5-11,8038,2020
M,0,,0,March,5-11,8542,2020
M,0,,0,April,5-11,8206,2020
M,0,,0,May,5-11,8456,2020
M,0,,0,June,5-11,8229,2020
M,0,,0,July,5-11,8536,2020
M,0,,0,August,5-11,8514,2020
M,0,,0,September,5-11,8256,2020
M,0,,0,October,5-11,8462,2020
M,0,,0,November,5-11,8009,2020
M,0,,0,December,5-11,8393,2020
M,0,,0,January,5-11,8359,2021
M,0,,0,February,5-11,7397,2021
M,0,,0,March,5-11,8065,2021
M,0,,0,April,5-11,7755,2021
M,0,,0,May,5-11,8010,2021
M,0,,0,June,5-11,7669,2021
F,1,pfizer,0,February,50-59,641,2021
F,1,pfizer,0,March,50-59,914,2021
F,1,pfizer,0,April,50-59,771,2021
F,0,,0,January,5-11,6917,2019
F,0,,0,February,5-11,6218,2019
