sex,month,year,Ageband,Persontime,Persontime_MIS_narrow,Persontime_KD_narrow,Persontime_MIS_KD_narrow,Persontime_MIS_broad,Persontime_KD_broad,Persontime_MIS_KD_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_possible,Persontime_Myocardalone_narrow,Persontime_Myocardalone_possible,Persontime_PERICARD_narrow,Persontime_PERICARD_possible,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b,PERICARD_narrow_b,PERICARD_possible_b,IR_MIS_narrow,lb_MIS_narrow,ub_MIS_narrow,IR_KD_narrow,lb_KD_narrow,ub_KD_narrow,IR_MIS_KD_narrow,lb_MIS_KD_narrow,ub_MIS_KD_narrow,IR_MIS_broad,lb_MIS_broad,ub_MIS_broad,IR_KD_broad,lb_KD_broad,ub_KD_broad,IR_MIS_KD_broad,lb_MIS_KD_broad,ub_MIS_KD_broad,IR_MYOCARD_narrow,lb_MYOCARD_narrow,ub_MYOCARD_narrow,IR_MYOCARD_possible,lb_MYOCARD_possible,ub_MYOCARD_possible,IR_Myocardalone_narrow,lb_Myocardalone_narrow,ub_Myocardalone_narrow,IR_Myocardalone_possible,lb_Myocardalone_possible,ub_Myocardalone_possible,IR_PERICARD_narrow,lb_PERICARD_narrow,ub_PERICARD_narrow,IR_PERICARD_possible,lb_PERICARD_possible,ub_PERICARD_possible
0,April,2020,70-79,13102,13102,13102,13102,13102,13102,13102,13072,13102,13102,13102,13072,13102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10283.65,0,0,10283.65,0,0,10283.65,0,0,10283.65,0,0,10283.65,0,0,10283.65,0,0,10307.25,0,0,10283.65,0,0,10283.65,0,0,10283.65,0,0,10307.25,0,0,10283.65
0,May,2020,70-79,13477,13477,13477,13477,13476,13477,13476,13446,13477,13477,13477,13446,13477,0,0,0,1,0,1,0,0,0,0,0,0,0,0,9997.5,0,0,9997.5,0,0,9997.5,2710.37,68.62,15101.24,0,0,9997.5,2710.37,68.62,15101.24,0,0,10020.55,0,0,9997.5,0,0,9997.5,0,0,9997.5,0,0,10020.55,0,0,9997.5
0,June,2020,70-79,13008,13008,13008,13008,13008,13008,13008,12978,13008,13008,13008,12978,13008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10357.96,0,0,10357.96,0,0,10357.96,0,0,10357.96,0,0,10357.96,0,0,10357.96,0,0,10381.9,0,0,10357.96,0,0,10357.96,0,0,10357.96,0,0,10381.9,0,0,10357.96
0,July,2020,70-79,13363,13363,13363,13363,13363,13363,13363,13332,13363,13363,13363,13332,13363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10082.79,0,0,10082.79,0,0,10082.79,0,0,10082.79,0,0,10082.79,0,0,10082.79,0,0,10106.23,0,0,10082.79,0,0,10082.79,0,0,10082.79,0,0,10106.23,0,0,10082.79
0,August,2020,70-79,13330,13330,13330,13330,13330,13330,13330,13299,13330,13330,13330,13299,13330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10107.75,0,0,10107.75,0,0,10107.75,0,0,10107.75,0,0,10107.75,0,0,10107.75,0,0,10131.31,0,0,10107.75,0,0,10107.75,0,0,10107.75,0,0,10131.31,0,0,10107.75
0,September,2020,70-79,12900,12900,12900,12900,12900,12900,12900,12870,12900,12900,12900,12870,12900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10444.68,0,0,10444.68,0,0,10444.68,0,0,10444.68,0,0,10444.68,0,0,10444.68,0,0,10469.02,0,0,10444.68,0,0,10444.68,0,0,10444.68,0,0,10469.02,0,0,10444.68
0,October,2020,70-79,13308,13308,13308,13308,13308,13308,13308,13277,13308,13308,13308,13277,13308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10124.46,0,0,10124.46,0,0,10124.46,0,0,10124.46,0,0,10124.46,0,0,10124.46,0,0,10148.1,0,0,10124.46,0,0,10124.46,0,0,10124.46,0,0,10148.1,0,0,10124.46
0,November,2020,70-79,12870,12870,12870,12870,12870,12870,12870,12840,12870,12870,12870,12840,12870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10469.02,0,0,10469.02,0,0,10469.02,0,0,10469.02,0,0,10469.02,0,0,10469.02,0,0,10493.48,0,0,10469.02,0,0,10469.02,0,0,10469.02,0,0,10493.48,0,0,10469.02
0,December,2020,70-79,13276,13276,13276,13276,13276,13276,13276,13245,13276,13276,13276,13245,13276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10148.86,0,0,10148.86,0,0,10148.86,0,0,10148.86,0,0,10148.86,0,0,10148.86,0,0,10172.62,0,0,10148.86,0,0,10148.86,0,0,10148.86,0,0,10172.62,0,0,10148.86
0,January,2021,70-79,13209,13209,13209,13209,13209,13209,13209,13178,13209,13209,13209,13178,13209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10200.34,0,0,10200.34,0,0,10200.34,0,0,10200.34,0,0,10200.34,0,0,10200.34,0,0,10224.34,0,0,10200.34,0,0,10200.34,0,0,10200.34,0,0,10224.34,0,0,10200.34
