sex,ageband_at_1_jan_2021,month,Persontime,Persontime_MIS_narrow,Persontime_KD_narrow,Persontime_MIS_KD_narrow,Persontime_MIS_broad,Persontime_KD_broad,Persontime_MIS_KD_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_possible,Persontime_Myocardalone_narrow,Persontime_Myocardalone_possible,Persontime_PERICARD_narrow,Persontime_PERICARD_possible,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b,PERICARD_narrow_b,PERICARD_possible_b
1,18-24,2020-07,2211,2211,2211,2211,2211,2211,2211,2211,2211,2211,2211,2211,2211,0,0,0,0,0,0,0,0,0,0,0,0
1,18-24,2020-08,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,0,0,0,0,0,0,0,0,0,0,0,0
1,18-24,2020-09,2086,2086,2086,2086,2086,2086,2086,2086,2086,2086,2086,2086,2086,0,0,0,0,0,0,0,0,0,0,0,0
1,18-24,2020-10,2093,2093,2093,2093,2093,2093,2093,2093,2093,2093,2093,2093,2093,0,0,0,0,0,0,0,0,0,0,0,0
1,18-24,2020-11,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,0,0,0,0,0,0,0,0,0,0,0,0
1,18-24,2020-12,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,0,0,0,0,0,0,0,0,0,0,0,0
1,18-24,2021-01,1926,1926,1926,1926,1926,1926,1926,1926,1926,1926,1926,1926,1926,0,0,0,0,0,0,0,0,0,0,0,0
1,18-24,2021-02,1652,1652,1652,1652,1652,1652,1652,1652,1652,1652,1652,1652,1652,0,0,0,0,0,0,0,0,0,0,0,0
1,18-24,2021-03,1777,1777,1777,1777,1777,1777,1777,1777,1777,1777,1777,1777,1777,0,0,0,0,0,0,0,0,0,0,0,0
1,18-24,2021-04,1710,1710,1710,1710,1710,1710,1710,1710,1710,1710,1710,1710,1710,0,0,0,0,0,0,0,0,0,0,0,0
1,18-24,2021-05,1724,1724,1724,1724,1724,1724,1724,1724,1724,1724,1724,1724,1724,0,0,0,0,0,0,0,0,0,0,0,0
1,18-24,2021-06,1517,1517,1517,1517,1517,1517,1517,1517,1517,1517,1517,1517,1517,0,0,0,0,0,0,0,0,0,0,0,0
1,25-29,2020-01,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,0,0,0,0,0,0,0,0,0,0,0,0
1,25-29,2020-02,1798,1798,1798,1798,1798,1798,1798,1798,1798,1798,1798,1798,1798,0,0,0,0,0,0,0,0,0,0,0,0
1,25-29,2020-03,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,0,0,0,0,0,0,0,0,0,0,0,0
1,25-29,2020-04,1853,1853,1853,1853,1853,1853,1853,1853,1853,1853,1853,1853,1853,0,0,0,0,0,0,0,0,0,0,0,0
1,25-29,2020-05,1891,1891,1891,1891,1891,1891,1891,1891,1891,1891,1891,1891,1891,0,0,0,0,0,0,0,0,0,0,0,0
1,25-29,2020-06,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,0,0,0,0,0,0,0,0,0,0,0,0
1,25-29,2020-07,1891,1891,1891,1891,1891,1891,1891,1891,1891,1891,1891,1891,1891,0,0,0,0,0,0,0,0,0,0,0,0
1,25-29,2020-08,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,0,0,0,0,0,0,0,0,0,0,0,0
1,25-29,2020-09,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,0,0,0,0,0,0,0,0,0,0,0,0
1,25-29,2020-10,1829,1829,1829,1829,1829,1829,1829,1829,1829,1829,1829,1829,1829,0,0,0,0,0,0,0,0,0,0,0,0
1,25-29,2020-11,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,0,0,0,0,0,0,0,0,0,0,0,0
1,25-29,2020-12,1812,1812,1812,1812,1812,1812,1812,1812,1812,1812,1812,1812,1812,0,0,0,0,0,0,0,0,0,0,0,0
1,25-29,2021-01,1734,1734,1734,1734,1734,1734,1734,1734,1734,1734,1734,1734,1734,0,0,0,0,0,0,0,0,0,0,0,0
1,25-29,2021-02,1509,1509,1509,1509,1509,1509,1509,1509,1509,1509,1509,1509,1509,0,0,0,0,0,0,0,0,0,0,0,0
1,25-29,2021-03,1643,1643,1643,1643,1643,1643,1643,1643,1643,1643,1643,1643,1643,0,0,0,0,0,0,0,0,0,0,0,0
1,25-29,2021-04,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,0,0,0,0,0,0,0,0,0,0,0,0
1,25-29,2021-05,1606,1606,1606,1606,1606,1606,1606,1606,1606,1606,1606,1606,1606,0,0,0,0,0,0,0,0,0,0,0,0
1,25-29,2021-06,1367,1367,1367,1367,1367,1367,1367,1367,1367,1367,1367,1367,1367,0,0,0,0,0,0,0,0,0,0,0,0
0,25-29,2020-01,2257,2257,2257,2257,2257,2257,2257,2257,2257,2257,2257,2257,2257,0,0,0,0,0,0,0,0,0,0,0,0
0,25-29,2020-02,2088,2088,2088,2088,2088,2088,2088,2088,2088,2088,2088,2088,2088,0,0,0,0,0,0,0,0,0,0,0,0
0,25-29,2020-03,2204,2204,2204,2204,2204,2204,2204,2204,2204,2204,2204,2204,2204,0,0,0,0,0,0,0,0,0,0,0,0
0,25-29,2020-04,2130,2130,2130,2130,2130,2130,2130,2130,2130,2130,2130,2130,2130,0,0,0,0,0,0,0,0,0,0,0,0
0,25-29,2020-05,2178,2178,2178,2178,2178,2178,2178,2178,2178,2178,2178,2178,2178,0,0,0,0,0,0,0,0,0,0,0,0
0,25-29,2020-06,2069,2069,2069,2069,2069,2069,2069,2069,2069,2069,2069,2069,2069,0,0,0,0,0,0,0,0,0,0,0,0
0,25-29,2020-07,2108,2108,2108,2108,2108,2108,2108,2108,2108,2108,2108,2108,2108,0,0,0,0,0,0,0,0,0,0,0,0
0,25-29,2020-08,2094,2094,2094,2094,2094,2094,2094,2094,2094,2094,2094,2094,2094,0,0,0,0,0,0,0,0,0,0,0,0
